service_id,date,exception_type
269,20190101,2
269,20181225,2
371,20181231,2
371,20181225,2
270,20190102,2
270,20181226,2
518,20190101,2
518,20181226,2
518,20181231,2
518,20181224,2
518,20181225,2
482,20190101,2
482,20181225,2
481,20181231,2
481,20181224,2
471,20190101,2
471,20181226,2
471,20181225,2
474,20181231,2
474,20181224,2
474,20181225,2
