stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
GL,Guelph Central GO,43.544353,-80.246917,39,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=GL,0,,1
GE,Georgetown GO,43.655373,-79.919054,35,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=GE,0,,1
EX,Exhibition GO,43.635549,-79.418927,02,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=EX,0,,1
ET,Etobicoke North GO,43.706172,-79.563506,04,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ET,0,,1
ER,Erindale GO,43.567235,-79.668506,12,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ER,0,,1
EG,Eglinton GO,43.739621,-79.23231,06,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=EG,0,,2
EA,East Gwillimbury GO,44.077996,-79.455776,44,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=EA,0,,1
DW,Downsview Park GO,43.7536333,-79.47835,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DW,0,,1
DI,Dixie GO,43.608022,-79.577762,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DI,0,,1
DA,Danforth GO,43.686462,-79.300358,06,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=DA,0,,1
CO,Cooksville GO,43.582973,-79.623695,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=CO,0,,1
CL,Clarkson GO,43.513127,-79.633206,12,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=CL,0,,1
CE,Centennial GO,43.873601,-79.289211,72,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=CE,0,,1
BU,Burlington GO,43.341265,-79.809141,16,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BU,0,,1
BR,Brampton GO,43.6869087,-79.7628632,33,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BR,0,,1
BO,Bronte GO,43.416774,-79.722294,14,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BO,0,,1
BL,Bloor GO,43.656928,-79.450192,01,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BL,0,,1
BE,Bramalea GO,43.7022591,-79.6887512,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BE,0,,1
BD,Bradford GO,44.116513,-79.555394,65,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BD,0,,1
BA,Barrie South GO,44.35112,-79.627441,68,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=BA,0,,1
AU,Aurora GO,44.000758,-79.459725,63,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AU,0,,1
AP,Appleby GO,43.379429,-79.760991,15,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AP,0,,1
AL,Aldershot GO,43.313385,-79.855659,17,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AL,0,,1
AJ,Ajax GO,43.847766,-79.041372,92,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AJ,0,,1
AG,Agincourt GO,43.78611,-79.284385,07,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AG,0,,1
AD,Allandale Waterfront GO,44.374139,-79.687858,69,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AD,0,,1
AC,Acton GO,43.6338043,-80.034111,37,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=AC,0,,1
08040,Bronte Rd. @ Hwy. 407 Park & Ride,43.4457626,-79.7920151,14,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08040,0,,2
08039,Regional Rd. 25 @ Hwy. 401 Park & Ride,43.5274849,-79.9038162,24,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08039,0,,2
08032,Bramalea Bus Terminal,43.7186356,-79.7205734,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08032,0,,1
08030,Williams Pkwy. @ Hwy. 410 Park & Ride,43.716526,-79.7513046,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08030,0,,1
08029,University of Toronto Scarborough,43.7843628,-79.1851273,89,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08029,0,,1
08025,Trafalgar Rd. @ Hwy. 407 Park & Ride,43.5061531,-79.7453842,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08025,0,,2
08024,Trafalgar Rd. @ Hwy. 407 Park & Ride,43.5061531,-79.7453842,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08024,0,,2
08021,Hwy. 2 @ Hwy. 35/115 Park & Ride,43.9128494,-78.6129303,97,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08021,0,,1
08020,Hwy. 2 @ Hwy. 35/115 Park & Ride,43.9128494,-78.6129303,97,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08020,0,,1
08012,Malton GO Bus,43.705143,-79.637825,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08012,0,,1
08006,Bradford GO Bus,44.116654,-79.555752,65,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08006,0,,1
08002,Allandale Waterfront GO Bus,44.373817,-79.689441,69,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=08002,0,,1
02716,Courtice Rd. @ Baseline Rd. P&R,43.8860800890398,-78.7688846365461,95,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02716,0,,2
02715,Oshawa- First Ave At Front St,43.8848233029176,-78.8537477203081,94,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02715,0,,2
02714,Oshawa- First Ave At Front St,43.8849561726567,-78.8542545799453,94,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02714,0,,2
02713,Brampton- Queen St At Centre St,43.6909641992743,-79.7543903110508,33,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02713,0,,2
02712,Brampton- Bovaird Dr At McLaughlin Rd,43.6957585266119,-79.7981796900374,33,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02712,0,,2
02711,Major Mackenzie Dr. E. @ Hwy. 404,43.8827011632664,-79.3803716525566,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02711,0,,2
02710,Major Mackenzie Dr. E. @ Hwy. 404,43.8827741694863,-79.3804406287544,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02710,0,,2
02709,Yonge St. @ Finch Ave.,43.7808519429722,-79.416002462366,05,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02709,0,,2
02708,Hwy. 50 @ Castlemore Rd.,43.8022027763583,-79.6689430530202,56,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02708,0,,2
02707,Hwy. 2 @ Solina Rd.,43.9140040885823,-78.7569770446931,95,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02707,0,,2
02706,Yonge St. @ Queen St.,44.0955808817404,-79.4901815817581,65,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02706,0,,2
02705,Winchester Rd. @ Lakeridge Rd.,43.9404993537075,-79.016552197116,87,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02705,0,,2
02704,King St. @ Hancock Rd.,43.913340875983,-78.7705597939023,95,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02704,0,,2
02703,Hwy. 2 @ Hancock Rd.,43.9136190358504,-78.7697274119929,95,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02703,0,,2
02702,Kingston Rd. @ Westney Rd.,43.857678667214,-79.0409885998896,92,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02702,0,,2
02700,Trafalgar Rd. @ Dundas St.,43.4879119435482,-79.7199831176779,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02700,0,,2
02699,Hwy. 10 @ Travelled Rd.,43.8573969935826,-79.9922485935605,42,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02699,0,,2
02698,Victoria St. E. @ S Blair St,43.8654558761237,-78.9209973861173,93,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02698,0,,2
02697,Victoria St E. @ S Blair St.,43.865347246294,-78.9209650743573,93,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02697,0,,2
02696,Guelph St. @ Hall Rd.,43.6486902942996,-79.8765444720472,35,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02696,0,,2
02694,Bayview Ave. @ St. John's Sideroad,44.023461599752,-79.447692060068,63,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02694,0,,2
02693,Bayview Ave. @ St. John's Sideroad,44.0237239494145,-79.4481818236578,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02693,0,,2
02692,Bayview Ave. @ Mulock Dr.,44.041044495598,-79.4517586529434,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02692,0,,2
02691,Bayview Ave. @ Mulock Dr.,44.0414415652058,-79.4521589476021,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02691,0,,2
02690,Prospect St. @ Pearson St.,44.0493428055642,-79.4528843805226,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02690,0,,2
02689,Prospect St. @ Pearson St.,44.0496186238697,-79.453040727793,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02689,0,,2
02688,Burton Ave. @ Granville St.,44.3716585556774,-79.6905053283274,69,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02688,0,,2
02687,Burton Ave. @ Granville St.,44.3716444485243,-79.6911595701255,69,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02687,0,,2
02686,York University,43.7742901633018,-79.5003907735091,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02686,0,,2
02685,Simcoe St. @ Britannia Ave.,43.9562798332303,-78.8999931679409,88,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02685,0,,2
02684,Simcoe St. @ Britannia Ave.,43.9558385161942,-78.8994952290358,88,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02684,0,,2
02683,Green Lane E. @ Yonge St.,44.073913,-79.481138,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02683,0,,2
02682,Queen St. @ Mill St.,43.8809995812407,-79.7400896488493,58,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02682,0,,2
02681,Queen St. @ Hickman St.,43.881289458911,-79.7407395455473,58,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02681,0,,2
02680,Bramalea Rd. @ Balmoral Dr.,43.7154679735916,-79.7054676815027,32,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02680,0,,2
02678,Gordon St. @ Clair Rd.,43.5003866753456,-80.1893148019381,39,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02678,0,,2
02677,Gordon St. @ Clair Rd.,43.5002316951943,-80.1886650066085,39,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02677,0,,2
02676,Dundas St. @ Halls Rd.,43.8710634547294,-78.9813988024596,93,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02676,0,,2
02675,Dundas St. @ Halls Rd.,43.8713052332062,-78.981120567689,93,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02675,0,,2
02674,Hwy 407 Bus Terminal,43.7830713234851,-79.5244458372792,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02674,0,,1
02673,Hwy 407 Bus Terminal,43.7830465622674,-79.5232260682288,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02673,0,,1
02672,Dundas St. @ Hwy. 412 Park & Ride,43.8769486590634,-78.9812249498338,93,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02672,0,,2
02664,City Centre Dr. @ Duke of York Blvd.,43.5892029044241,-79.6427464480046,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02664,0,,2
02663,City Centre Dr. @ Robert Speck Pkwy.,43.594225540709,-79.6392787304937,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02663,0,,1
02662,City Centre Dr. @ Robert Speck Pkwy.,43.5947480853453,-79.6397587842478,20,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02662,0,,1
02661,Renforth Transitway Station,43.662995090205,-79.5911181123626,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02661,0,,1
02660,Renforth Transitway Station,43.6630754344014,-79.591281189024,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02660,0,,1
02659,Dixie Transitway Station,43.6300128947218,-79.6146254772841,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02659,0,,1
02658,Dixie Transitway Station,43.6300478663032,-79.6146878930147,25,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02658,0,,1
02655,Hurontario St. @ Fairview Rd.,43.5875907610701,-79.6265046670912,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02655,0,,2
02654,Hurontario St. @ Elm Dr.,43.5908331882659,-79.6310144279684,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02654,0,,2
02653,Hwy. 10 @ Buena Vista Dr.,43.9218485290721,-80.0830587693037,43,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02653,0,,2
02652,West Harbour GO,43.2660685497468,-79.8659978056508,18,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02652,0,,1
02651,Military Trail. @ Pan Am Dr.,43.7877954094493,-79.1904190458541,89,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02651,0,,1
02650,Military Trail. @ Pan Am Dr.,43.7878560204119,-79.1908919809448,89,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02650,0,,1
02649,Victoria St. @ King St.,43.4536442075418,-80.4975713205815,27,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02649,0,,1
02648,Victoria St. @ King St.,43.452607682658,-80.498158338438,27,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02648,0,,1
02647,Trafalgar Rd. @ Dundas St. E.,43.4877993708847,-79.7192931589981,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02647,0,,2
02646,Niagara College,43.1524845920884,-79.166533938966,84,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02646,0,,2
02645,Main St. @ Baker Hill Blvd.,43.9653991754335,-79.2742792341716,74,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02645,0,,2
02644,Main St. @ Ringwood Dr.,43.9650310025184,-79.2749393391483,74,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02644,0,,2
02643,Cambridge Centre Terminal,43.3928337,-80.3223343,26,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02643,0,,1
02641,Regional Rd 25. @ Britannia Rd.,43.4867163829386,-79.8344502041188,24,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02641,0,,2
02640,Regional Rd 25. @ Britannia Rd.,43.4867945085456,-79.8351362856758,24,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02640,0,,2
02639,Green Ln. E. @ Yonge St.,44.07297,-79.48391,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02639,0,,2
02637,Davis Dr. @ Superior St. (Newmarket GO).,44.0594444,-79.4590073,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02637,0,,2
02636,Winston Churchill Transitway Station,43.5417557,-79.7129898,21,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02636,0,,1
02635,Winston Churchill Transitway Station,43.5419006,-79.7131805,21,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02635,0,,1
02634,Davis Dr. @ Superior St. (Newmarket GO).,44.0596123,-79.4592438,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02634,0,,2
