fare_id,price,currency_type,payment_method,transfers
85-94,22.80,CAD,1,
93-85,22.10,CAD,1,
85-93,22.10,CAD,1,
92-85,21.35,CAD,1,
85-92,21.35,CAD,1,
91-85,20.70,CAD,1,
85-91,20.70,CAD,1,
90-85,20.55,CAD,1,
85-90,20.55,CAD,1,
89-85,20.50,CAD,1,
85-89,20.50,CAD,1,
88-85,23.35,CAD,1,
85-88,23.35,CAD,1,
87-85,21.95,CAD,1,
85-87,21.95,CAD,1,
86-85,21.25,CAD,1,
85-86,21.25,CAD,1,
85-85,5.30,CAD,1,
1084-84,6.30,CAD,1,
84-1084,6.30,CAD,1,
1083-84,7.60,CAD,1,
84-1083,7.60,CAD,1,
97-84,26.80,CAD,1,
84-97,26.80,CAD,1,
96-84,26.00,CAD,1,
84-96,26.00,CAD,1,
95-84,25.50,CAD,1,
84-95,25.50,CAD,1,
94-84,25.00,CAD,1,
84-94,25.00,CAD,1,
93-84,24.30,CAD,1,
84-93,24.30,CAD,1,
92-84,23.55,CAD,1,
84-92,23.55,CAD,1,
91-84,22.90,CAD,1,
84-91,22.90,CAD,1,
90-84,23.45,CAD,1,
84-90,23.45,CAD,1,
89-84,23.45,CAD,1,
84-89,23.45,CAD,1,
88-84,26.20,CAD,1,
84-88,26.20,CAD,1,
87-84,24.80,CAD,1,
84-87,24.80,CAD,1,
86-84,24.15,CAD,1,
84-86,24.15,CAD,1,
85-84,17.80,CAD,1,
84-85,17.80,CAD,1,
84-84,5.30,CAD,1,
1084-83,7.60,CAD,1,
83-1084,7.60,CAD,1,
1083-83,6.30,CAD,1,
83-1083,6.30,CAD,1,
97-83,24.80,CAD,1,
83-97,24.80,CAD,1,
96-83,24.05,CAD,1,
83-96,24.05,CAD,1,
95-83,23.55,CAD,1,
83-95,23.55,CAD,1,
94-83,23.00,CAD,1,
83-94,23.00,CAD,1,
93-83,22.35,CAD,1,
83-93,22.35,CAD,1,
92-83,21.60,CAD,1,
83-92,21.60,CAD,1,
91-83,20.95,CAD,1,
83-91,20.95,CAD,1,
90-83,21.50,CAD,1,
83-90,21.50,CAD,1,
89-83,21.50,CAD,1,
83-89,21.50,CAD,1,
88-83,24.25,CAD,1,
83-88,24.25,CAD,1,
87-83,22.85,CAD,1,
83-87,22.85,CAD,1,
86-83,22.20,CAD,1,
83-86,22.20,CAD,1,
85-83,15.80,CAD,1,
83-85,15.80,CAD,1,
84-83,6.40,CAD,1,
83-84,6.40,CAD,1,
83-83,5.30,CAD,1,
1084-82,10.55,CAD,1,
82-1084,10.55,CAD,1,
1083-82,7.75,CAD,1,
82-1083,7.75,CAD,1,
97-82,22.60,CAD,1,
82-97,22.60,CAD,1,
96-82,21.85,CAD,1,
82-96,21.85,CAD,1,
95-82,21.30,CAD,1,
82-95,21.30,CAD,1,
94-82,20.75,CAD,1,
